Planeta            N_e N_p M_d       P_orb[d]   a_p[ua]   R_p[R_T]  M_p[M_T] d[pc]
Kepler-83-d         2   3   T         5.169     0.0510     1.940     4.100  400.409
LHS1678-b           2   3   T         0.860     0.0123     0.685     0.350   19.878
LHS1678-c           2   3   T         3.694     0.0327     0.941     1.400   19.878
LHS1678-d           2   3   T         4.965     0.0400     0.981     0.907   19.878
TOI-451-b           2   3   T         1.858     0.0283     1.910     4.310  123.739
TOI-451-c           2   3   T         9.192     0.0823     3.100     9.800  123.739
TOI-451-d           2   3   T        16.364     0.1208     4.070    15.600  123.739
XO-2N-b             2   3   T         2.615     0.0368    11.130   179.891  154.273
XO-2S-b             2   3   VR       18.157     0.1300    10.900    82.635  151.398
XO-2S-c             2   3   VR      120.800     0.4756    13.600   435.409  151.398
upsAnd-b            2   3   VR        4.617     0.0592    14.000   218.531   13.405
upsAnd-c            2   3   VR      241.258     0.8277    12.300  4443.240   13.405
upsAnd-d            2   3   VR     1276.460     2.5132    12.500  3257.740   13.405
75Cet-b             2   2   VR      696.620     1.9120    13.300   787.896   82.961
75Cet-c             2   2   VR     2051.620     3.9290    13.900   289.859   82.961
GJ15A-b             2   2   VR       11.440     0.0720     1.550     3.030    3.562
GJ15A-c             2   2   VR     7600.000     5.4000     6.670    36.000    3.562
GJ3473-b            2   2   T         1.198     0.0158     1.264     1.860   27.364
GJ3473-c            2   2   VR       15.509     0.0876     2.630     7.410   27.364
GJ414A-b            2   2   VR       50.800     0.2324     2.630     7.600   11.889
GJ414A-c            2   2   VR      749.830     1.4000     8.400    53.830   11.889
HD107148-b          2   2   VR       48.056     0.2690     9.600    66.741   49.415
HD107148-c          2   2   VR       18.326     0.1407     4.700    19.896   49.415
HD11343-c           2   2   VR      228.537     0.9230    13.900   255.534  155.121
HD116029-b          2   2   VR      670.000     1.6500    13.600   444.962  123.245
HD116029-c          2   2   VR      907.000 99999.0000    13.700   403.644  123.245
HD11964-b           2   2   VR     1945.000     3.1600    14.100   198.000   33.536
HD11964-c           2   2   VR       37.910     0.2290     5.380    25.000   33.536
HD147873-b          2   2   VR      116.596     0.5220    12.800  1633.640  109.055
HD147873-c          2   2   VR      491.540     1.3600    13.300   731.009  109.055
HD177830-b          2   2   VR      410.100     1.1400    13.500   537.132   62.767
HD177830-c          2   2   VR      110.900     0.5137     7.870    47.672   62.767
HD190360-b          2   2   VR     2854.000     3.9000    13.400   572.091   16.006
HD190360-c          2   2   VR       17.111     0.1304     4.590    19.069   16.006
HD217786-b          2   2   VR     1301.360     2.4460    12.300  4402.550   55.484
HD217786-c          2   2   VR        2.522     0.0380     2.610     7.310   55.484
HD38529-b           2   2   VR       14.309     0.1150    14.100   206.588   42.353
HD38529-c           2   2   VR     2127.605     3.2260    12.500  3299.050   42.353
HD41004A-b          2   2   VR      963.000 99999.0000    13.200   807.250   36.691
HD41004B-b          2   2   VR        1.328 99999.0000    12.100  5838.290   41.550
HD4732-b            2   2   VR      371.740     1.1290    13.400   631.207   54.784
HD4732-c            2   2   VR     3184.200     4.7250    13.100  1069.490   54.784
HD93963A-b          2   2   T         1.037     0.0206     1.469     2.800   82.343
HD93963A-c          2   2   T         3.645     0.0472     3.119    18.400   82.343
HD99492-b           2   2   VR       17.050     0.1200     5.440    25.500   18.203
HD99492-c           2   2   VR       95.233 99999.0000     4.420    17.900   18.203
HIP38594-b          2   2   VR       60.722     0.2560     2.770     8.100   17.788
HIP38594-c          2   2   VR     3477.768     3.8050     7.940    48.400   17.788
HIP8541-b           2   2   VR     1852.143     3.7290    12.600  2451.720  155.121
HUAqrAB-b           2   2   VTE    2390.000     3.6000    12.800  1875.190  192.198
HUAqrAB-c           2   2   VTE    4368.000     5.4000    12.900  1430.230  192.198
Kepler-108-b        2   2   T        49.183     0.2920     8.650    56.000  338.732
Kepler-108-c        2   2   T       190.323     0.7210     8.180    50.900  338.732
Kepler-1086-b       2   2   T        18.784     0.1198     2.440     6.530  466.084
Kepler-1086-c       2   2   T       161.516     0.5030     2.940     8.960  466.084
Kepler-136-b        2   2   T        11.578     0.1060     2.050    19.800  420.818
Kepler-136-c        2   2   T        16.399     0.1330     1.990     4.620  420.818
Kepler-333-b        2   2   T        12.551     0.0870     1.320    28.200  324.413
Kepler-333-c        2   2   T        24.088     0.1350     1.110     1.410  324.413
Kepler-353-b        2   2   T         5.795     0.0510     0.890     0.640  384.694
Kepler-353-c        2   2   T         8.410     0.0650     1.380     2.480  384.694
Kepler-390-b        2   2   T         6.738     0.0650     0.820     0.477  435.277
Kepler-390-c        2   2   T        13.060     0.1010     0.790     0.418  435.277
Kepler-432-b        2   2   T        52.501     0.3010    12.834  1719.460  848.023
Kepler-432-c        2   2   VR      406.200 99999.0000    13.300   772.326  848.023
Kepler-755-b        2   2   T         1.269     0.0215     1.760     3.750  399.034
Kepler-755-c        2   2   T         2.853     0.0370     1.260     2.130  399.034
LTT3780-b           2   2   T         0.768     0.0119     1.325     2.460   21.981
LTT3780-c           2   2   T        12.252     0.0757     2.390     8.040   21.981
NNSer-c             2   2   VTE    5573.550     5.3500    12.600  2329.600  515.818
NNSer-d             2   2   VTE    2883.500     3.4300    13.300   731.000  515.818
NYVir-b             2   2   VTE    3160.000     3.3000    13.300   730.978  544.024
NYVir-c             2   2   VTE    8799.000 99999.0000    12.800  1760.770  544.024
Pr0211-b            2   2   VR        2.146     0.0317    13.400   597.520  182.714
Pr0211-c            2   2   VR     4850.000     5.5000    12.600  2475.890  182.714
TOI-1338-b          2   2   T        95.400     0.4607     7.661    11.300  399.017
TOI-1338-c          2   2   VR      215.790     0.7940    10.300    75.400  399.017
TOI-1450A-b         2   2   T         2.043 99999.0000     1.130     1.258   22.446
TOI-1450A-c         2   2   T         5.068 99999.0000     1.130     1.527   22.446
TOI-1453-b          2   2   T         4.313 99999.0000     1.173     2.320   78.741
TOI-1453-c          2   2   T         6.588 99999.0000     2.224     2.950   78.741
TOI-1634-b          2   2   T         0.989     0.0154     1.773     7.570   35.273
TOI-1634-c          2   2   VR      103.000 99999.0000 99999.000 99999.000   35.273
TOI-421-b           2   2   T         5.197     0.0554     2.640     6.700   74.796
TOI-421-c           2   2   T        16.067     0.1170     5.090    14.100   74.796
TOI-815-b           2   2   T        11.197     0.0903     2.940     7.600   59.711
TOI-815-c           2   2   T        34.976     0.1930     2.620    23.500   59.711
UZFor-b             2   2   VTE    5840.000     5.9000 99999.000  2002.200  239.603
UZFor-c             2   2   VTE    1916.250     2.8000 99999.000  2447.200  239.603
WASP-18-b           2   2   T         0.941     0.0202    13.899  3241.840  123.483
WASP-18-c           2   2   VTT       2.155     0.0350     8.580    55.200  123.483
WASP-8-b            2   2   T         8.158     0.0801    12.666   807.288   89.960
WASP-8-c            2   2   VR     4323.000     5.2800    12.500  3003.370   89.960
WASP-94A-b          2   2   T         3.950     0.0550    17.710   158.915  211.211
WASP-94B-b          2   2   VR        2.008     0.0335    14.100   196.411  208.696
